"";"ID";"Fund";"Strategy";"Time.Days";"Expected.Yield.Year"
"1";"BB-0001";"BB  AÇÕES AGRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;18;4,16
"2";"BB-0002";"BB AÇÕES ALOCAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES";1;37;14,61
"3";"BB-0003";"BB AÇÕES ALOCAÇÃO ETF FUNDO DE INVESTIMENTO EM AÇÕES";3;40;19,14
"4";"BB-0004";"BB AÇÕES ASG BRASIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;34;-7,85
"5";"BB-0005";"BB AÇÕES BB FUNDO DE INVESTIMENTO";1;31;25,5
"6";"BB-0006";"BB AÇÕES BB SEGURIDADE FUNDO DE INVESTIMENTO EM AÇÕES";1;38;23,42
"7";"BB-0007";"BB AÇÕES BOLSA AMERICANA FUNDO DE INVESTIMENTO EM AÇÕES";3;40;15,91
"8";"BB-0008";"BB AÇÕES BOLSA BRASILEIRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;36;11,9
"9";"BB-0009";"BB AÇÕES BOLSAS ASIÁTICAS EX-JAPÃO FI EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - BDR ETF NÍVEL I";3;9;-1,02
"10";"BB-0010";"BB AÇÕES BOLSAS EUROPEIAS FI EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - BDR ETF NÍVEL I";1;11;18,61
"11";"BB-0011";"BB TOP AÇÕES BOLSAS GLOBAIS ATIVO FUNDO DE INVESTIMENTO EM AÇÕES - BDR ETF NÍVEL I";1;11;3
"12";"BB-0015";"BB AÇÕES CONSTRUÇÃO CIVIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;24;38,97
"13";"BB-0016";"BB AÇÕES CONSUMO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;38;22,49
"14";"BB-0017";"BB AÇÕES DIVIDENDOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;21;18,14
"15";"BB-0018";"BB AÇÕES DIVIDENDOS MIDCAPS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;23;18,36
"16";"BB-0019";"BB AÇÕES ENERGIA FUNDO DE INVESTIMENTO";1;25;12,82
"17";"BB-0020";"BB AÇÕES EQUIDADE IS FUNDO DE INVESTIMENTO";1;38;24,18
